partOf,source,title,date,genre,link,theatre,city,country
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000163,The Slave,1828-03-21,Opera,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=0,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000164,A Day After the Fair,1829-12-03,Farce,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=1,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000165,Twas I,1826-11-28,Musical Farce,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=2,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000167,"Thirty Years; Or, a Gambler's Life",-01-21,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=4,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000168,Youthful Queen,1830-10-14,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=5,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000169,Marriage of Figaro,1828-01-03,Opera,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=6,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016a,Farm House,1830-11-25,Comedy,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=7,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000164,Black-Eyed Susan,1829-12-03,Nautical Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=1,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000165,Devil's Bridge,1826-11-28,Opera,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=2,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000167,"Thirty Years Or, a Gambler's Life",-01-21,Serious Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=4,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000169,Maid or Wife,1828-01-03,Farce,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=6,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016a,John of Paris,1830-11-25,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=7,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016c,"Vampire: Or, the Bride of the Isles",1829-02-17,Traditionary Romance,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=9,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016f,Young Widow,1826-11-13,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=12,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000173,Matrimony,1830-11-29,Interlude,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=16,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000168,A Day After the Fair,1830-10-14,Interlude,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=5,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016b,Presumptive Evidence,1829-03-02,Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=8,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016c,Young Widow,1829-02-17,Interlude,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=9,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016c,Green-Eyed Monster,1829-02-17,Comedy,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=9,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016d,How to Die for Love,1826-11-07,Farce,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=10,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016d,The Pilot,1826-11-07,Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=10,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016f,"The Pilot, Or, a Tale of the Sea",1826-11-13,Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=12,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000170,Haunted Inn,1829-01-13,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=13,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016b,Invincibles; Ou Les Femmes Soldats,1829-03-02,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=8,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000170,Bottle Imp,1829-01-13,Romance,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=13,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000171,Eugene Aram,1832-12-28,Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=14,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000172,"Black-Eyed Susan: Or, All in the Downs",-11-04,Nautical Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=15,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000174,"Aladdin Or, the Wonderful Lamp",-04-06,Spectacle,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=17,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000175,Widow's Vow,1829-03-03,Interlude,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=18,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000177,The Man of the World,-05-04,Comedy,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=20,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000175,Invincibles; Ou Les Femmes Soldats,1829-03-03,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=18,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000171,Alfred the Great,1832-12-28,Historical Melodrama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=14,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000172,Wood Demon,-11-04,Romantic Spectacle,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=15,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016e,The Hunter of the Alps,1833-01-25,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=11,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000174,Paul & Virginia,-04-06,Musical Farce,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=17,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000173,"Ambrose Gwinett; Or, a Sea-Side Story",1830-11-29,Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=16,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00017b,Simpson & Co,1827-05-03,Comedy,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=24,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00017d,Damon and Pythias,-01-15,Play,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=26,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000179,"Raymond and Agnes: Or, the Bleeding Nun",-12-26,Melo Dramatic Romance,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=22,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000175,Presumptive Evidence,1829-03-03,Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=18,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000177,Faustus,-05-04,Romantic Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=20,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000176,"Vampire: Or, the Bride of the Isles",1829-02-26,Traditionary Romance,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=19,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000177,Aladdin,-05-04,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=20,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000177,Mephistophiles,-05-04,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=20,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000178,"The Duel, Or, My Two Nephews",1829-04-09,Petite Comedy,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=21,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000178,Oysters Sir,1829-04-09,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=21,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00017b,Faustus,1827-05-03,Romantic Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=24,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000178,Idiot Witness,1829-04-09,Melodrama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=21,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000178,Irishman in London,1829-04-09,Farce,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=21,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000176,"Wood Demon Or, the Clock Has Struck",1829-02-26,Romantic Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=19,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00017a,Zara,1796-08-31,Tragedy,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=23,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00017c,Eugene Aram,1833-01-17,Drama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=25,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00017e,Miller's Maid,1829-12-10,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=27,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000180,Wood Demon,-11-03,Romantic Spectacle,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=29,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000181,Irishman in London,1827-12-28,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=30,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00017a,"The Village Lawye, Or, a Devonshire Shepherd",1796-08-31,Farce,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=23,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00017c,The Waterman,1833-01-17,Musical Entertainment,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=25,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00017e,Irish Tutor,1829-12-10,,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=27,Miscellaneous Plymouth theatres,Plymouth,England
https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x000002/manifest.json,https://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589092.0x00016f,"Pilot: Or, a Tale of the Sea",1826-11-13,Melodrama,http://access.bl.uk/item/viewer/ark:/81055/vdc_100022589092.0x000002#?cv=12,Miscellaneous Plymouth theatres,Plymouth,England
