,Aleph system number (001),Carrier type term (338 $a),Chronological subdivision - 1 (650 $y),Chronological subdivision - 2 (650 $y),Chronological subdivision - 3 (650 $y),Chronological subdivision - 4 (650 $y),Chronological subdivision - 5 (650 $y),Chronological subdivision - 6 (650 $y),Chronological subdivision - 7 (650 $y),Content type term (336 $a),Corporate name or jurisdiction name as entry element (710 $a),Country (008/15-17),Date of manufacture (264 $c),Date/Time of an Event (033 $a),Devised title (245 $a),Extent (300 $a),Form of item (008/23),Geographic subdivision - 1 (650 $z),Geographic subdivision - 2 (650 $z),Geographic subdivision - 3 (650 $z),Geographic subdivision - 4 (650 $z),Geographic subdivision - 5 (650 $z),Geographic subdivision - 6 (650 $z),Geographic subdivision - 7 (650 $z),Language (008/35-37),Link text (856 $y),Manufacturer (264 $b),Media type term (337 $a),Other title - 1 (246 $a),Other title - 10 (246 $a),Other title - 11 (246 $a),Other title - 12 (246 $a),Other title - 13 (246 $a),Other title - 2 (246 $a),Other title - 3 (246 $a),Other title - 4 (246 $a),Other title - 5 (246 $a),Other title - 6 (246 $a),Other title - 7 (246 $a),Other title - 8 (246 $a),Other title - 9 (246 $a),Place of manufacture (264 $a),Relator term (710 $e),Source (336 $2),Source (337 $2),Source (338 $2),Title statement of original (534 $t),Topical term or geographic name entry element - 1 (650 $a),Topical term or geographic name entry element - 2 (650 $a),Topical term or geographic name entry element - 3 (650 $a),Topical term or geographic name entry element - 4 (650 $a),Topical term or geographic name entry element - 5 (650 $a),Topical term or geographic name entry element - 6 (650 $a),Topical term or geographic name entry element - 7 (650 $a)
10,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1874,[Edinburgh theatres playbill for The Conscript; My Poll & My Partner Joe; Hunter of the Alps],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,The Conscript,,,,,My Poll & My Partner Joe,Hunter of the Alps,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Conscript; My Poll & My Partner Joe; Hunter of the Alps],Historical Drama,Nautical Drama,Military Drama,,,,
11,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1883,[Edinburgh theatres playbill for The Momentous Question; Robert Macaire],1 online resource,s,Edinburgh,Edinburgh,,,,,,eng,digitised sheet,[British Library],computer,The Momentous Question,,,,,Robert Macaire,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Momentous Question; Robert Macaire],Drama,Melo-Drama,,,,,
12,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1876,[Edinburgh theatres playbill for The Rivals; The Momentous Question],1 online resource,s,Edinburgh,Edinburgh,,,,,,eng,digitised sheet,[British Library],computer,The Rivals,,,,,The Momentous Question,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Rivals; The Momentous Question],Comedy,Domestic Drama,,,,,
13,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1873,[Edinburgh theatres playbill for Tom and Jerry; Shocking Events; India],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,Tom and Jerry,,,,,Shocking Events,India,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Tom and Jerry; Shocking Events; India],Comedy,Extravaganza,Burlesque,,,,
14,,online resource,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,1846.0,text,British Library Playbills Project,enk,[2018],1867,"[Edinburgh theatres playbill for Disowned!! Or the Pride of Birth; Robert Macaire or the Two Murderers; The Momentous Question; The Disowned, or the Pride of Birth; Robert Macaire, or the Two Murderers; The Momentous Question; The Disowned!! Or the Pride of Birth]",1 online resource,s,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh,eng,digitised sheet,[British Library],computer,Disowned!! Or the Pride of Birth,,,,,Robert Macaire or the Two Murderers,The Momentous Question,"The Disowned, or the Pride of Birth","Robert Macaire, or the Two Murderers",The Momentous Question,The Disowned!! Or the Pride of Birth,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Disowned!! Or the Pride of Birth; Robert Macaire or the Two Murderers; The Momentous Question; The Disowned, or the Pride of Birth; Robert Macaire, or the Two Murderers; The Momentous Question; The Disowned!! Or the Pride of Birth]",Drama,Drama,Drama,Melo-Drama,Melo-Drama,Domestic Drama,Domestic Drama
15,,online resource,1840.0,1840.0,1840.0,1840.0,,,,text,British Library Playbills Project,enk,[2018],1850,"[Edinburgh theatres playbill for The Little Equestrian, Miss Barlow, Will Go Through Her Admired and Graceful Riding Act as Diana, the Goddess of the Chase; Great Gymnastic Efforts; The Artists of the Company Will Then Appear in a Variety of Pyramidical Devices, Shewing Astonishing Muscular Exercises and Feats of Strength, Concluding With a Lofty Pyramid of Ten Men; Grand and Novel Equestrian Entertainments; Sorcerer of China!!! Or Magi of the East; Cinderella; Corde Crescent; Six Ladies & Six Cavaliers; Masaniello; The Frolics of My Granny of Threescore and Ten; Wild Horse of the Ukraine; The Art of Equitation; Scenes on Horseback]",1 online resource,s,Edinburgh,Edinburgh,Edinburgh,Edinburgh,,,,eng,digitised sheet,[British Library],computer,"The Little Equestrian, Miss Barlow, Will Go Through Her Admired and Graceful Riding Act as Diana, the Goddess of the Chase",The Frolics of My Granny of Threescore and Ten,Wild Horse of the Ukraine,The Art of Equitation,Scenes on Horseback,Great Gymnastic Efforts,"The Artists of the Company Will Then Appear in a Variety of Pyramidical Devices, Shewing Astonishing Muscular Exercises and Feats of Strength, Concluding With a Lofty Pyramid of Ten Men",Grand and Novel Equestrian Entertainments,Sorcerer of China!!! Or Magi of the East,Cinderella,Corde Crescent,Six Ladies & Six Cavaliers,Masaniello,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for The Little Equestrian, Miss Barlow, Will Go Through Her Admired and Graceful Riding Act as Diana, the Goddess of the Chase; Great Gymnastic Efforts; The Artists of the Company Will Then Appear in a Variety of Pyramidical Devices, Shewing Astonishing Muscular Exercises and Feats of Strength, Concluding With a Lofty Pyramid of Ten Men; Grand and Novel Equestrian Entertainments; Sorcerer of China!!! Or Magi of the East; Cinderella; Corde Crescent; Six Ladies & Six Cavaliers; Masaniello; The Frolics of My Granny of Threescore and Ten; Wild Horse of the Ukraine; The Art of Equitation; Scenes on Horseback]",Nursery Tale,Equestrian Entertainments,Comic Extravaganza,Scenes on Horseback,,,
16,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1864,[Edinburgh theatres playbill for Pongo the Monkey; Grand Concerts & Novel Entertainments],1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,Pongo the Monkey,,,,,Grand Concerts & Novel Entertainments,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Pongo the Monkey; Grand Concerts & Novel Entertainments],,,,,,,
17,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1868,"[Edinburgh theatres playbill for A Maiden's Fame, or a Legend of Lisbon; Robert Macaire or the Two Murderers; Golden Farmer! Or the Last Crime]",1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,"A Maiden's Fame, or a Legend of Lisbon",,,,,Robert Macaire or the Two Murderers,Golden Farmer! Or the Last Crime,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for A Maiden's Fame, or a Legend of Lisbon; Robert Macaire or the Two Murderers; Golden Farmer! Or the Last Crime]",Romantic Drama,Melo-Drama,Melo-Drama,,,,
18,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1868,[Edinburgh theatres playbill for Don Caesar De Bazan; Grand Military Divertisement; Grand Incidental Ballet; Don Caesar De Bazan; The Battle of Austerlitz; Battle of Austerlitz],1 online resource,s,Edinburgh,Edinburgh,,,,,,eng,digitised sheet,[British Library],computer,Don Caesar De Bazan,,,,,Grand Military Divertisement,Grand Incidental Ballet,Don Caesar De Bazan,The Battle of Austerlitz,Battle of Austerlitz,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Don Caesar De Bazan; Grand Military Divertisement; Grand Incidental Ballet; Don Caesar De Bazan; The Battle of Austerlitz; Battle of Austerlitz],Grand Military Spectacle,Grand Military Spectacle,,,,,
19,,online resource,1846.0,1846.0,1846.0,1846.0,1846.0,,,text,British Library Playbills Project,enk,[2018],1859,[Edinburgh theatres playbill for Flag Gallop; Pas De Berger; The Pledge; Love in the Mountains; Pot Pourri; Robert Macaire],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,Edinburgh,Edinburgh,,,eng,digitised sheet,[British Library],computer,Flag Gallop,,,,,Pas De Berger,The Pledge,Love in the Mountains,Pot Pourri,Robert Macaire,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Flag Gallop; Pas De Berger; The Pledge; Love in the Mountains; Pot Pourri; Robert Macaire],Drama,Drama,Ballet,Melo-Drama,Grand Dance,,
20,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1866,"[Edinburgh theatres playbill for Robinson Crusoe or the Bold Buccaneers; Macbeth, King of Scotland]",1 online resource,s,Edinburgh,Edinburgh,,,,,,eng,digitised sheet,[British Library],computer,Robinson Crusoe or the Bold Buccaneers,,,,,"Macbeth, King of Scotland",,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Robinson Crusoe or the Bold Buccaneers; Macbeth, King of Scotland]",Tragedy,Melo-Dramatic Spectacle,,,,,
21,,online resource,1848.0,1848.0,1848.0,,,,,text,British Library Playbills Project,enk,[2018],1869,[Edinburgh theatres playbill for Uncle Sam; The Wild Boy of the Forest; Wild Boy of the Forest],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,Uncle Sam,,,,,The Wild Boy of the Forest,Wild Boy of the Forest,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Uncle Sam; The Wild Boy of the Forest; Wild Boy of the Forest],Sketch,Sketch,Sketch,,,,
22,,online resource,1847.0,1847.0,1847.0,,,,,text,British Library Playbills Project,enk,[2018],1873,"[Edinburgh theatres playbill for Les Poses Plastique; Soldier, Sailor, Tinker, and Tailor; Master & Man]",1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,Les Poses Plastique,,,,,"Soldier, Sailor, Tinker, and Tailor",Master & Man,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Les Poses Plastique; Soldier, Sailor, Tinker, and Tailor; Master & Man]",Tableaux,Comique Ballet De Action,Sketch,,,,
23,,online resource,,,,,,,,text,British Library Playbills Project,enk,[2018],1858,"[Edinburgh theatres playbill for Palestine, or the Holy Land]",1 online resource,s,,,,,,,,eng,digitised sheet,[British Library],computer,"Palestine, or the Holy Land",,,,,,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Palestine, or the Holy Land]",,,,,,,
24,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1864,"[Edinburgh theatres playbill for Robert Macaire; The Momentous Question; A Maiden's Fame, or a Legend of Lisbon]",1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,Robert Macaire,,,,,The Momentous Question,"A Maiden's Fame, or a Legend of Lisbon",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Robert Macaire; The Momentous Question; A Maiden's Fame, or a Legend of Lisbon]",Domestic Drama,Romantic Drama,Melodrama,,,,
25,,online resource,1847.0,1847.0,1847.0,,,,,text,British Library Playbills Project,enk,[2018],1858,[Edinburgh theatres playbill for The Windmill; Don Juan!! Or the Libertine Destroyed; Fortune's Frolic or the Ploughman Turned Lord],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,The Windmill,,,,,Don Juan!! Or the Libertine Destroyed,Fortune's Frolic or the Ploughman Turned Lord,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Windmill; Don Juan!! Or the Libertine Destroyed; Fortune's Frolic or the Ploughman Turned Lord],Sketch,Serio-Comic Pantomime,Sketch,,,,
26,,online resource,1846.0,1846.0,1846.0,1846.0,,,,text,British Library Playbills Project,enk,[2018],1858,[Edinburgh theatres playbill for La Pas De Fleurs; Philippe; Pas Tyrolienne; The Illustrious Stranger; The Golden Farmer; Golden Farmer],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,Edinburgh,,,,eng,digitised sheet,[British Library],computer,La Pas De Fleurs,,,,,Philippe,Pas Tyrolienne,The Illustrious Stranger,The Golden Farmer,Golden Farmer,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for La Pas De Fleurs; Philippe; Pas Tyrolienne; The Illustrious Stranger; The Golden Farmer; Golden Farmer],Drama,Melodrama,Pas De Ballet,Melo-Drama,,,
27,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1879,[Edinburgh theatres playbill for The Jealous Wife; Jealous Wife],1 online resource,s,Edinburgh,Edinburgh,,,,,,eng,digitised sheet,[British Library],computer,The Jealous Wife,,,,,Jealous Wife,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Jealous Wife; Jealous Wife],Comedy,Comedy,,,,,
28,,online resource,1847.0,1847.0,,,,,,text,British Library Playbills Project,enk,[2018],1861,[Edinburgh theatres playbill for Poses Plastique; Wild Boy of the Forest],1 online resource,s,Edinburgh,Edinburgh,,,,,,eng,digitised sheet,[British Library],computer,Poses Plastique,,,,,Wild Boy of the Forest,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Poses Plastique; Wild Boy of the Forest],Sketch,Tableaux Vivans,,,,,
29,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1875,[Edinburgh theatres playbill for Time Works Wonders; The Vol Au Vent; Shocking Events or the Dumb Man of Doncaster],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,Time Works Wonders,,,,,The Vol Au Vent,Shocking Events or the Dumb Man of Doncaster,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Time Works Wonders; The Vol Au Vent; Shocking Events or the Dumb Man of Doncaster],Drama,Laughable Ballet d'Action Et Danse,Comedy,,,,
30,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1860,[Edinburgh theatres playbill for The Dumb Man of Manchester; King Richard Iii. Or the Battle of Bosworth Field; Polkamania],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,The Dumb Man of Manchester,,,,,King Richard Iii. Or the Battle of Bosworth Field,Polkamania,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Dumb Man of Manchester; King Richard Iii. Or the Battle of Bosworth Field; Polkamania],Drama,Extravaganza,Tragedy,,,,
31,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1882,[Edinburgh theatres playbill for A Maiden's Fame; Did You Ever Send Your Wife to Portobello; Isabella!! Or the Fatal Marriage],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,A Maiden's Fame,,,,,Did You Ever Send Your Wife to Portobello,Isabella!! Or the Fatal Marriage,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for A Maiden's Fame; Did You Ever Send Your Wife to Portobello; Isabella!! Or the Fatal Marriage],Tragedy,Romantic Drama,Farce,,,,
32,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1871,"[Edinburgh theatres playbill for Four Grand Tableaux Vivans; Alessandro Massaroni, or the Brigand; The School for Scandal; The Love-Chase]",1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,Four Grand Tableaux Vivans,,,,,"Alessandro Massaroni, or the Brigand",The School for Scandal,The Love-Chase,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Four Grand Tableaux Vivans; Alessandro Massaroni, or the Brigand; The School for Scandal; The Love-Chase]",Comedy,Tableaux Vivans,Comedy,,,,
33,,online resource,1846.0,1846.0,1846.0,1846.0,,,,text,British Library Playbills Project,enk,[2018],1883,[Edinburgh theatres playbill for The Fratricide; The Mountain Swains; The First Fratricide; Les Poses Plastiques],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,Edinburgh,,,,eng,digitised sheet,[British Library],computer,The Fratricide,,,,,The Mountain Swains,The First Fratricide,Les Poses Plastiques,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Fratricide; The Mountain Swains; The First Fratricide; Les Poses Plastiques],Tableaux Vivans,Tableaux Vivans,Tableaux Vivans,Amusing Sketch,,,
34,,online resource,1847.0,1847.0,,,,,,text,British Library Playbills Project,enk,[2018],1875,[Edinburgh theatres playbill for The Midnight Visitor; The Deaf Boots],1 online resource,s,Edinburgh,Edinburgh,,,,,,eng,digitised sheet,[British Library],computer,The Midnight Visitor,,,,,The Deaf Boots,,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Midnight Visitor; The Deaf Boots],Sketch,Laughable Sketch,,,,,
35,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1869,[Edinburgh theatres playbill for The Happiest Day of My Life; The Broken Sword; Charles Xii],1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,The Happiest Day of My Life,,,,,The Broken Sword,Charles Xii,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for The Happiest Day of My Life; The Broken Sword; Charles Xii],Historical Drama,Romantic Drama,Interlude,,,,
36,,online resource,1840.0,1840.0,,,,,,text,British Library Playbills Project,enk,[2018],1862,"[Edinburgh theatres playbill for Cooke's Royal Circus; The Courtship of Sam Slick, Esq. Of Slickville; Or, a Yankee in Search of a Wife; The Magic Bell; Or the Toad in a Hole; Merry Holidays, or the Olden Times Revived; A True Sea Son of England]",1 online resource,s,Edinburgh,Edinburgh,,,,,,eng,digitised sheet,[British Library],computer,Cooke's Royal Circus,,,,,"The Courtship of Sam Slick, Esq. Of Slickville; Or, a Yankee in Search of a Wife",The Magic Bell; Or the Toad in a Hole,"Merry Holidays, or the Olden Times Revived",A True Sea Son of England,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Cooke's Royal Circus; The Courtship of Sam Slick, Esq. Of Slickville; Or, a Yankee in Search of a Wife; The Magic Bell; Or the Toad in a Hole; Merry Holidays, or the Olden Times Revived; A True Sea Son of England]",Circus,Scene of Action,,,,,
37,,online resource,1846.0,1846.0,1846.0,,,,,text,British Library Playbills Project,enk,[2018],1883,"[Edinburgh theatres playbill for Cramond Brig or the Gudeman O' Ballangeich; The Cleikum Inn; Redgauntlet, or Poor Peter Peebles Versus Plainstanes]",1 online resource,s,Edinburgh,Edinburgh,Edinburgh,,,,,eng,digitised sheet,[British Library],computer,Cramond Brig or the Gudeman O' Ballangeich,,,,,The Cleikum Inn,"Redgauntlet, or Poor Peter Peebles Versus Plainstanes",,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Cramond Brig or the Gudeman O' Ballangeich; The Cleikum Inn; Redgauntlet, or Poor Peter Peebles Versus Plainstanes]",National Drama,Interlude,National Drama,,,,
38,,online resource,1846.0,1846.0,,,,,,text,British Library Playbills Project,enk,[2018],1875,[Edinburgh theatres playbill for Zarah! Or the Wild Gipsy Girl; Diamond Cut Diamond; The Merchant of Venice],1 online resource,s,Edinburgh,Edinburgh,,,,,,eng,digitised sheet,[British Library],computer,Zarah! Or the Wild Gipsy Girl,,,,,Diamond Cut Diamond,The Merchant of Venice,,,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,[Playbill for Zarah! Or the Wild Gipsy Girl; Diamond Cut Diamond; The Merchant of Venice],Comedy,Laughable Interlude,,,,,
39,,online resource,1846.0,1846.0,1846.0,1846.0,,,,text,British Library Playbills Project,enk,[2018],1872,"[Edinburgh theatres playbill for Polkamania; The Broken Sword; Alessandro Massaroni, or the Brigand; The Golden Farmer, or the Last Crime]",1 online resource,s,Edinburgh,Edinburgh,Edinburgh,Edinburgh,,,,eng,digitised sheet,[British Library],computer,Polkamania,,,,,The Broken Sword,"Alessandro Massaroni, or the Brigand","The Golden Farmer, or the Last Crime",,,,,,[London],manufacturer,rdacontent,rdamedia,rdacarrier,"[Playbill for Polkamania; The Broken Sword; Alessandro Massaroni, or the Brigand; The Golden Farmer, or the Last Crime]",Interlude,Romantic Drama,Melodrama,Grand Melo-Dramatic Spectacle,,,
